Class	Sex	Age	Survived
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	yes
first	female	adult	no
first	female	adult	no
first	female	adult	no
first	female	adult	no
first	male	child	yes
first	male	child	yes
first	male	child	yes
first	male	child	yes
first	male	child	yes
first	female	child	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	yes
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	male	adult	no
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	yes
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	female	adult	no
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	male	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
second	female	child	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	yes
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	male	adult	no
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	yes
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	female	adult	no
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	yes
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	male	child	no
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	yes
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
third	female	child	no
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
crew	male	adult	yes
